Core checksum filename	Core checksum
O13-9_S7_L001_R1_001.fastq.gz	59f25bb1f7ba08dac56f7d2afe723735
O13-9_S7_L002_R1_001.fastq.gz	3bdace1d72c7ceb9ba9ad6598fcd3358
O13-9_S7_L003_R1_001.fastq.gz	a984df849e684643e4121affd8c26caa
O13-9_S7_L004_R1_001.fastq.gz	f43e47eeb1bb2566f2645a7210e4add6
O16-10_S10_L005_R1_001.fastq.gz	d5ae3ef273087bca30fc4be16898a1ea
O16-10_S10_L006_R1_001.fastq.gz	6681abf8a142742308a2a2032923d590
O16-10_S10_L007_R1_001.fastq.gz	c5e0f9e3267ce9d60d970b57e6269de5
O16-10_S10_L008_R1_001.fastq.gz	b4c09e476a8a897910f334d61cbde696
O16-11_S11_L005_R1_001.fastq.gz	9a8b1e77eed73b76539e8753ebbcf310
O16-11_S11_L006_R1_001.fastq.gz	47c827da8db48fc07da0b22826c92f2b
O16-11_S11_L007_R1_001.fastq.gz	3307b62042d20f8aaac48577a4207fc6
O16-11_S11_L008_R1_001.fastq.gz	9490418da2dc30c958e7014312dc09a8
O16-12_S12_L005_R1_001.fastq.gz	d6360c123fa4635f617ac0b533bcb243
O16-12_S12_L006_R1_001.fastq.gz	16db1382eade5b529a7e570007aa9a1c
O16-12_S12_L007_R1_001.fastq.gz	4d9f38286ae1d8ee2c79e452df06df9b
O16-12_S12_L008_R1_001.fastq.gz	eaaff385034b78b1a11c05ff5a6ba999
O16-13_S13_L005_R1_001.fastq.gz	5f4d2872f2158165b4bbb4e7aa98be2a
O16-13_S13_L006_R1_001.fastq.gz	95249a580ee322a35f556a312a68a89e
O16-13_S13_L007_R1_001.fastq.gz	d20e877c95c1ad479cb91b4b27a2dddf
O16-13_S13_L008_R1_001.fastq.gz	4be26925ad4c0509c353bf0a58fa90ad
O16-14_S14_L005_R1_001.fastq.gz	82386ed776cbf61c634233fdd2dca355
O16-14_S14_L006_R1_001.fastq.gz	8fbe5dc72825bd841f88506092e030ef
O16-14_S14_L007_R1_001.fastq.gz	6c953417ba05ee49e21be0cd862a6c94
O16-14_S14_L008_R1_001.fastq.gz	2470058ef7aebc501c8cc21b9dcbcfc4
O16-15_S15_L005_R1_001.fastq.gz	af25b6f0cd9c6a31689a0388b799fbba
O16-15_S15_L006_R1_001.fastq.gz	ef3c2e1008ff1cdd57c4f257d789994a
O16-15_S15_L007_R1_001.fastq.gz	a2ed481d4b75cf7afc4c6b7ef184cc92
O16-15_S15_L008_R1_001.fastq.gz	198d1081c0b1419ce2af18eda9fd4f6a
O16-16_S16_L005_R1_001.fastq.gz	a9e0b6dc4219615a4e58d2eb85ab31ad
O16-16_S16_L006_R1_001.fastq.gz	53b0b79623d2fb4df43202f4444aa0fa
O16-16_S16_L007_R1_001.fastq.gz	72285241ec9c5e5f2711d9973faac7b5
O16-16_S16_L008_R1_001.fastq.gz	19044a3d3a421092b43cd62453bcde1d
O16-1_S1_L001_R1_001.fastq.gz	7489f3d5e181626018826f65ed17c932
O16-1_S1_L002_R1_001.fastq.gz	cb305ed36d22238fad3524879fdbbcc7
O16-1_S1_L003_R1_001.fastq.gz	03d04a10e21babd5950a60d5f536660b
O16-1_S1_L004_R1_001.fastq.gz	db8ed5cecb85abac71585dfc7335898b
O16-2_S2_L001_R1_001.fastq.gz	0a62184aa4c8820702c65693dfb87acd
O16-2_S2_L002_R1_001.fastq.gz	c552df14f83201f2820ac7dae229fe1c
O16-2_S2_L003_R1_001.fastq.gz	c8b40beadab3738079c1fe1d575e4c8e
O16-2_S2_L004_R1_001.fastq.gz	78c77bf01d762d4c4ec961e45cfb7978
O16-3_S3_L001_R1_001.fastq.gz	ba236d6c61a0b5871c7631c66612e8a1
O16-3_S3_L002_R1_001.fastq.gz	8c7f2b458f994adadd65af0a41b150c6
O16-3_S3_L003_R1_001.fastq.gz	5476cccad8929cdd373dfa3d17d00f98
O16-3_S3_L004_R1_001.fastq.gz	32ce733d02c08dbf27883a43c0415931
O16-4_S4_L001_R1_001.fastq.gz	c6a8ffeaf19d748914b4504d8ef67099
O16-4_S4_L002_R1_001.fastq.gz	96eee48e5576e47fdadd1fbfc72a7783
O16-4_S4_L003_R1_001.fastq.gz	113672f822b4319ba706f48be72c8025
O16-4_S4_L004_R1_001.fastq.gz	9e0a953c746961e4825659bb9df7552b
O16-5_S5_L001_R1_001.fastq.gz	ece2691507028f6b7dd65fcac349b1b7
O16-5_S5_L002_R1_001.fastq.gz	6749f22ad9cb4dda88793a1afc15f6b0
O16-5_S5_L003_R1_001.fastq.gz	51d4d38850ab5393ffe43fa4ab935a11
O16-5_S5_L004_R1_001.fastq.gz	f075f1763e17fdcd685e22257d213267
O16-6_S6_L001_R1_001.fastq.gz	b25405d9967f9e1062098f396c9e41b1
O16-6_S6_L002_R1_001.fastq.gz	5221680bd41241565fd6744a4c4ae35d
O16-6_S6_L003_R1_001.fastq.gz	26a022f2ed0ee0c82729691319ff9bcf
O16-6_S6_L004_R1_001.fastq.gz	c8d7e5997c0dec671118cfe46db5420f
O16-7_S7_L001_R1_001.fastq.gz	ecdff7e603d40986861f5c25ae73c3d3
O16-7_S7_L002_R1_001.fastq.gz	7a0571f67291c910e02ddb6b36c5bb9b
O16-7_S7_L003_R1_001.fastq.gz	a3fe29117fe15ffe23a7b1f44cc29631
O16-7_S7_L004_R1_001.fastq.gz	99c08a33e1b0681fae6b2fdc3acc168d
O16-8_S8_L001_R1_001.fastq.gz	052fa291abc95e98747349fb6b6a7f79
O16-8_S8_L002_R1_001.fastq.gz	74538aba48d79a01f3f9bfe1cf985fe9
O16-8_S8_L003_R1_001.fastq.gz	71dfa5cd772cda5e7468bebda84f7418
O16-8_S8_L004_R1_001.fastq.gz	cfd23460896c4951674a8cf14fd40475
O16-9_S9_L005_R1_001.fastq.gz	efafdf85a64f999fb98d591548bcf9d8
O16-9_S9_L006_R1_001.fastq.gz	d92f81ec58bc4a0629b3d80b6deff143
O16-9_S9_L007_R1_001.fastq.gz	f34371e8dc43b60b80544e4aaa7614f9
O16-9_S9_L008_R1_001.fastq.gz	b26ecd63f815eb78c47c086f7da8a5be
O17-10_S10_L005_R1_001.fastq.gz	8bdefc00a8e5313884325f542fccc656
O17-10_S10_L006_R1_001.fastq.gz	539fb70c2f98d90b5afcb120cc243753
O17-10_S10_L007_R1_001.fastq.gz	e722f16354d122c0434c32c813a57257
O17-10_S10_L008_R1_001.fastq.gz	44394cf7bd0495201e581e7f93561f5f
